Date,Time,Location,Vehicle_Count,Average_Speed,Congestion_Level,Weather
2025-01-01,8:15,Maharajgunj,-50,43,High,
2025-01-01,9:45,Bhaktapur,-50,24,Low,Rain
2025-01-01,10:45,Lalitpur,-50,150,Medium,
2025-01-01,14:15,Baneshwor,394,,Low,
2025-01-01,15:45,Kalanki,293,150,Medium,Rain
2025-01-02,8:15,Chabahil,,,High,Cloudy
2025-01-02,10:45,Chabahil,,,Medium,Cloudy
2025-01-02,11:00,Baneshwor,-50,150,Medium,Clear
2025-01-02,13:45,Kalanki,,,Low,Fog
2025-01-02,14:15,Ratnapark,556,47,Medium,
2025-01-02,15:00,Chabahil,-50,21,High,Clear
2025-01-03,8:15,Kalanki,-50,6,Medium,Fog
2025-01-03,10:45,Maharajgunj,-50,53,Medium,Clear
2025-01-03,12:30,Kalanki,902,150,Low,Cloudy
2025-01-03,13:00,Baneshwor,,44,Medium,
2025-01-03,14:30,Lalitpur,451,42,High,Clear
2025-01-03,11:15,Kalanki,298,,High,
2025-01-04,9:45,Maharajgunj,258,3,Medium,
2025-01-04,10:30,Ratnapark,-50,,High,Clear
2025-01-04,15:00,Maharajgunj,762,150,Low,
2025-01-04,14:45,Baneshwor,-50,150,Medium,Cloudy
2025-01-05,8:15,Koteshwor,,150,Medium,Cloudy
2025-01-05,10:30,Ratnapark,-50,17,High,
2025-01-05,11:30,Koteshwor,-50,,Medium,
2025-01-05,9:45,Kalanki,-50,,Low,Clear
2025-01-05,14:30,Lalitpur,211,150,High,Fog
2025-01-06,8:45,Chabahil,-50,150,High,Cloudy
2025-01-06,10:45,Baneshwor,-50,150,Medium,Cloudy
2025-01-06,12:00,Lalitpur,998,150,Low,Fog
2025-01-06,14:00,Koteshwor,526,8,High,
2025-01-06,13:00,Ratnapark,,5,Low,Rain
2025-01-06,15:30,Lalitpur,,47,Low,
2025-01-07,9:15,Kalanki,,150,Low,
2025-01-07,12:45,Maharajgunj,908,,Low,
2025-01-07,11:15,Bhaktapur,,,High,Rain
2025-01-07,15:15,Bhaktapur,-50,18,Low,Clear
2025-01-08,8:00,Bhaktapur,-50,10,Medium,
2025-01-08,9:00,Maharajgunj,,8,High,
2025-01-07,14:45,Baneshwor,149,150,Low,Cloudy
2025-01-08,12:15,Baneshwor,-50,150,Low,Rain
2025-01-08,14:30,Baneshwor,-50,,High,Clear
2025-01-09,8:00,Baneshwor,-50,150,High,Cloudy
2025-01-09,9:30,Maharajgunj,239,41,Low,Fog
2025-01-09,12:45,Bhaktapur,648,34,Low,Fog
2025-01-09,14:30,Ratnapark,,150,High,
2025-01-10,8:15,Chabahil,,23,High,Rain
2025-01-10,10:30,Koteshwor,569,,Medium,Clear
2025-01-10,13:15,Maharajgunj,487,35,Medium,Rain
2025-01-10,14:30,Maharajgunj,351,36,Low,
2025-01-10,15:15,Koteshwor,-50,150,High,Fog
2025-01-11,8:45,Bhaktapur,555,,Medium,
2025-01-11,13:45,Bhaktapur,,19,Medium,
,14:15,Chabahil,458,48,Medium,Rain
2025-01-11,15:15,Koteshwor,,,Low,Cloudy
2025-01-12,9:15,Kalanki,378,,Medium,
2025-01-12,10:15,Ratnapark,-50,,High,Cloudy
2025-01-11,10:00,Baneshwor,-50,,High,
2025-01-12,13:45,Maharajgunj,-50,,High,Clear
2025-01-12,14:00,Chabahil,686,37,Low,Rain
2025-01-12,15:00,Kalanki,-50,,High,
2025-01-13,9:00,Koteshwor,934,150,High,Rain
2025-01-13,8:30,Baneshwor,-50,,Medium,Rain
2025-01-13,11:30,Ratnapark,-50,30,High,
2025-01-13,12:45,Bhaktapur,642,58,High,Cloudy
,15:45,Ratnapark,,28,Medium,Rain
2025-01-13,14:45,Chabahil,-50,,Medium,Cloudy
2025-01-15,15:30,Ratnapark,,150,Low,Cloudy
2025-01-10,12:30,Maharajgunj,798,42,High,Rain
2025-01-16,10:15,Maharajgunj,-50,,Medium,Rain
2025-01-16,12:15,Kalanki,,150,Low,
2025-01-16,9:45,Ratnapark,,8,High,Clear
2025-01-16,15:15,Chabahil,-50,,Low,
2025-01-14,14:15,Kalanki,852,18,High,Rain
2025-01-14,15:15,Bhaktapur,-50,53,High,Rain
2025-01-15,8:30,Koteshwor,969,16,Medium,Rain
2025-01-15,12:30,Chabahil,229,,Medium,Rain
2025-01-14,10:15,Chabahil,,150,High,
2025-01-14,8:30,Maharajgunj,,21,Low,Fog
2025-01-14,12:30,Baneshwor,395,24,Low,Clear
2025-01-17,11:30,Baneshwor,365,150,Low,Cloudy
2025-01-17,9:00,Maharajgunj,,7,Low,Cloudy
2025-01-17,15:45,Kalanki,402,150,High,Clear
2025-01-18,10:30,Ratnapark,-50,150,High,Clear
2025-01-17,13:15,Chabahil,,,High,Fog
2025-01-18,8:45,Kalanki,-50,150,Medium,Rain
2025-01-18,9:45,Baneshwor,-50,43,Low,Cloudy
2025-01-19,10:00,Ratnapark,-50,,Medium,Clear
2025-01-18,15:30,Maharajgunj,370,150,Medium,Cloudy
2025-01-19,9:30,Lalitpur,,150,High,
2025-01-20,8:15,Bhaktapur,528,150,Low,
2025-01-20,10:00,Baneshwor,,43,Low,
2025-01-19,13:00,Kalanki,-50,1,Low,
2025-01-20,15:45,Bhaktapur,707,150,High,Fog
2025-01-19,14:30,Koteshwor,,150,Medium,
2025-01-20,12:45,Ratnapark,-50,,Low,Cloudy
2025-01-19,15:00,Koteshwor,,,Medium,Fog
2025-01-20,13:00,Chabahil,-50,,High,Rain
2025-01-20,14:45,Maharajgunj,,58,Medium,
2025-01-21,10:30,Maharajgunj,651,,Medium,Cloudy
2025-01-21,11:00,Maharajgunj,,,Low,Clear
2025-01-21,8:45,Bhaktapur,,,High,Fog
2025-01-21,12:00,Lalitpur,104,22,Low,
2025-01-19,12:00,Kalanki,,,Medium,Cloudy
2025-01-22,11:30,Chabahil,,,High,
2025-01-22,8:15,Chabahil,658,49,Low,Cloudy
2025-01-22,9:30,Baneshwor,,,Low,Clear
2025-01-23,8:00,Bhaktapur,-50,,Medium,Rain
2025-01-22,15:45,Koteshwor,,35,Medium,Cloudy
2025-01-23,10:15,Bhaktapur,-50,,High,Cloudy
2025-01-23,11:00,Lalitpur,-50,,High,Cloudy
2025-01-23,9:15,Koteshwor,191,,High,Clear
2025-01-23,13:15,Kalanki,,56,Medium,
2025-01-18,12:45,Bhaktapur,,,Low,Clear
2025-01-24,9:15,Maharajgunj,,150,High,Fog
2025-01-24,11:15,Baneshwor,,,High,Clear
2025-01-24,10:00,Chabahil,857,54,Low,Clear
2025-01-24,13:15,Maharajgunj,,4,Medium,Rain
2025-01-24,12:45,Ratnapark,-50,,High,
2025-01-25,9:00,Kalanki,938,,High,
2025-01-24,14:45,Koteshwor,,51,Low,
2025-01-25,8:30,Lalitpur,774,,Low,
2025-01-25,12:30,Maharajgunj,-50,,Medium,Fog
2025-01-25,13:00,Chabahil,,20,High,Cloudy
2025-01-26,10:45,Chabahil,674,150,High,Clear
2025-01-26,8:30,Ratnapark,,150,Low,
2025-01-26,9:30,Chabahil,,5,Low,Rain
