Date,Time,Location,Vehicle_Count,Average_Speed,Congestion_Level,Weather
2025-01-16,11:15,Maharajgunj,812,37.5,Low,Rain
2025-02-28,13:15,Baneshwor,96,37.6,Medium,Cloudy
2025-04-24,15:15,Lalitpur,799,33.2,Low,Fog
2025-02-06,8:00,Bhaktapur,48,34.7,High,Rain
2025-01-18,14:15,Chabahil,102,34.7,Low,Rain
2025-01-10,10:30,Koteshwor,570,34.9,Medium,Clear
2025-03-31,13:45,Lalitpur,50,35.1,Medium,Fog
2025-01-04,14:30,Lalitpur,456,43.9,High,Clear
2025-03-21,8:30,Ratnapark,166,33.5,High,Rain
2025-01-18,8:45,Baneshwor,97,48.3,Low,Cloudy
2025-03-03,14:30,Lalitpur,476,37.5,Medium,Clear
2025-01-31,12:30,Lalitpur,53,34.1,High,Cloudy
2025-02-12,13:00,Baneshwor,53,32.5,Medium,Clear
2025-02-28,14:45,Maharajgunj,317,34.0,High,Rain
2025-01-13,12:00,Kalanki,97,34.3,High,Cloudy
2025-02-16,13:15,Baneshwor,96,38.1,High,Cloudy
2025-01-15,8:15,Ratnapark,102,36.8,High,Rain
2025-04-27,10:30,Bhaktapur,311,37.3,High,Clear
2025-03-25,12:15,Lalitpur,54,36.6,High,Fog
2025-01-20,8:45,Kalanki,55,36.9,Medium,Rain
2025-03-29,13:30,Koteshwor,188,33.6,High,Clear
2025-02-09,15:00,Maharajgunj,45,3.6,Medium,Cloudy
2025-04-12,15:15,Chabahil,45,33.0,High,Rain
2025-02-15,14:00,Chabahil,1001,34.6,High,Rain
2025-03-08,8:30,Ratnapark,215,23.4,High,Cloudy
2025-02-24,12:30,Kalanki,367,35.3,Low,Clear
2025-04-14,13:15,Baneshwor,97,54.6,High,Clear
2025-02-20,9:30,Bhaktapur,45,4.7,High,Rain
2025-01-27,13:00,Chabahil,99,21.0,High,Cloudy
2025-05-04,15:15,Koteshwor,97,32.5,High,Fog
2025-02-06,14:00,Lalitpur,95,28.2,Medium,Clear
2025-01-24,11:30,Chabahil,102,36.5,High,Cloudy
2025-03-03,9:15,Bhaktapur,105,34.6,Medium,Rain
2025-02-11,13:45,Bhaktapur,50,36.1,Medium,Cloudy
2025-01-05,15:45,Bhaktapur,53,8.1,High,Clear
2025-01-25,13:15,Bhaktapur,97,17.7,High,Fog
2025-04-08,10:45,Baneshwor,103,36.1,High,Clear
2025-04-24,11:15,Maharajgunj,53,9.5,Medium,Clear
2025-03-12,9:15,Koteshwor,45,1.0,Low,Rain
2025-03-05,8:15,Lalitpur,352,37.4,High,Cloudy
2025-01-08,14:45,Baneshwor,149,35.1,Low,Cloudy
2025-03-06,14:30,Kalanki,52,32.3,Medium,Clear
2025-04-01,8:30,Lalitpur,48,30.7,High,Clear
2025-03-03,9:15,Ratnapark,49,32.0,Low,Cloudy
2025-04-04,12:30,Bhaktapur,103,34.2,High,Cloudy
2025-04-11,13:15,Ratnapark,739,32.4,Low,Rain
2025-01-25,11:15,Ratnapark,331,15.6,High,Cloudy
2025-04-01,12:00,Lalitpur,51,33.3,Medium,Clear
2025-03-16,8:45,Maharajgunj,98,35.4,High,Clear
2025-04-24,14:15,Bhaktapur,48,16.0,Low,Clear
2025-03-12,10:00,Ratnapark,48,20.0,Medium,Fog
2025-02-02,8:45,Ratnapark,772,18.4,High,Clear
2025-04-19,9:30,Bhaktapur,99,24.1,High,Cloudy
2025-03-09,15:45,Bhaktapur,49,44.8,Low,Fog
2025-01-18,8:45,Kalanki,52,34.8,Medium,Rain
2025-03-03,12:15,Chabahil,441,36.9,High,Fog
2025-04-18,10:15,Bhaktapur,96,33.1,High,Rain
2025-03-24,11:00,Baneshwor,105,34.6,Medium,Rain
2025-01-02,14:30,Lalitpur,452,41.6,High,Clear
2025-04-23,9:30,Chabahil,95,32.5,Low,Fog
2025-01-23,12:30,Kalanki,95,34.2,Medium,Rain
2025-02-05,12:45,Ratnapark,48,30.9,High,Clear
2025-02-19,8:00,Lalitpur,104,38.8,Low,Rain
2025-03-22,9:15,Bhaktapur,51,33.1,Low,Rain
2025-02-11,15:00,Kalanki,672,56.2,Medium,Clear
2025-01-02,13:45,Kalanki,105,35.1,Low,Fog
2025-01-31,12:00,Koteshwor,46,46.1,High,Cloudy
2025-04-11,15:45,Baneshwor,45,21.0,Medium,Rain
2025-02-14,12:00,Chabahil,104,35.4,High,Clear
2025-03-12,13:00,Ratnapark,96,36.3,Low,Clear
2025-04-26,12:00,Koteshwor,101,36.3,High,Cloudy
2025-02-12,9:15,Maharajgunj,126,36.5,High,Clear
2025-01-13,9:00,Koteshwor,934,34.3,High,Rain
2025-02-19,15:00,Ratnapark,54,34.0,Low,Rain
2025-05-04,15:15,Koteshwor,96,31.8,High,Fog
2025-03-02,11:45,Koteshwor,732,36.0,Medium,Fog
2025-02-23,9:00,Baneshwor,392,37.2,High,Cloudy
2025-03-07,11:45,Chabahil,127,38.2,Low,Rain
2025-04-12,14:00,Lalitpur,51,37.6,Low,Rain
2025-05-03,10:45,Ratnapark,55,33.5,Medium,Rain
2025-01-04,9:45,Kalanki,45,31.6,Low,Clear
2025-01-27,15:45,Ratnapark,138,37.1,Low,Cloudy
2025-01-11,11:30,Kalanki,780,31.4,Low,Cloudy
2025-04-30,14:30,Baneshwor,98,15.3,Medium,Cloudy
2025-03-15,13:45,Koteshwor,53,34.6,Low,Fog
2025-04-27,10:30,Bhaktapur,309,34.9,High,Clear
2025-02-18,8:00,Lalitpur,97,35.1,Low,Rain
2025-01-02,9:45,Bhaktapur,45,24.3,Low,Rain
2025-02-20,13:00,Chabahil,301,30.2,Low,Cloudy
2025-03-13,11:45,Koteshwor,298,35.0,Low,Clear
2025-01-16,9:45,Ratnapark,104,3.5,High,Clear
2025-04-13,10:00,Baneshwor,98,36.5,Low,Rain
2025-04-16,13:45,Maharajgunj,50,37.9,Low,Clear
2025-03-04,10:00,Chabahil,50,38.7,Low,Clear
2025-04-01,8:30,Bhaktapur,98,33.4,High,Fog
2025-02-21,15:45,Ratnapark,50,33.9,Low,Fog
2025-04-04,15:15,Baneshwor,104,19.4,Medium,Clear
2025-03-15,10:45,Kalanki,810,35.4,Low,Clear
2025-01-22,8:15,Chabahil,660,49.7,Low,Cloudy
2025-01-28,8:00,Baneshwor,907,37.4,Low,Rain
2025-02-02,15:45,Chabahil,936,7.8,Medium,Rain
2025-04-24,9:30,Lalitpur,54,36.5,Low,Clear
2025-04-16,14:45,Baneshwor,850,36.4,Low,Fog
2025-02-04,8:00,Bhaktapur,48,32.4,High,Rain
2025-02-27,13:30,Koteshwor,773,54.9,Low,Rain
2025-03-01,10:15,Lalitpur,54,32.2,Medium,Cloudy
2025-04-07,10:15,Maharajgunj,54,36.8,Medium,Clear
2025-02-02,15:15,Ratnapark,103,32.0,High,Rain
2025-04-04,14:15,Bhaktapur,52,36.2,Low,Fog
2025-02-08,13:30,Kalanki,228,12.7,Medium,Cloudy
2025-04-06,8:00,Kalanki,98,34.6,Low,Cloudy
2025-04-07,11:00,Ratnapark,51,34.5,Low,Cloudy
2025-04-08,11:30,Kalanki,280,36.2,Medium,Fog
2025-02-12,12:30,Baneshwor,97,34.3,Medium,Rain
2025-04-26,11:00,Koteshwor,103,38.6,Medium,Cloudy
2025-01-07,10:45,Maharajgunj,104,14.4,Low,Rain
2025-04-15,15:00,Kalanki,188,34.4,High,Cloudy
2025-05-02,13:45,Lalitpur,96,28.9,Medium,Clear
2025-01-31,9:00,Baneshwor,651,33.1,Medium,Rain
2025-04-11,9:00,Chabahil,49,33.7,High,Fog
2025-01-26,14:15,Lalitpur,131,30.3,High,Clear
2025-02-17,10:00,Koteshwor,736,50.0,Low,Cloudy
2025-03-05,10:30,Ratnapark,204,33.7,Medium,Fog
2025-01-06,10:45,Baneshwor,55,39.2,Medium,Cloudy
2025-01-22,12:00,Lalitpur,108,19.9,Low,Rain
2025-01-04,14:15,Ratnapark,551,47.3,Medium,Fog
2025-04-18,13:45,Chabahil,659,36.2,High,Fog
2025-01-07,9:30,Maharajgunj,237,42.3,Low,Fog
2025-04-24,11:15,Maharajgunj,47,5.9,Medium,Clear
2025-04-21,8:15,Lalitpur,418,34.5,Medium,Cloudy
2025-03-12,9:00,Lalitpur,51,35.9,Low,Fog
2025-02-16,14:00,Chabahil,1000,35.5,High,Rain
2025-01-16,10:30,Ratnapark,47,34.5,High,Clear
2025-03-26,12:00,Lalitpur,100,31.9,Low,Rain
2025-03-01,12:15,Baneshwor,504,34.1,Medium,Rain
2025-01-06,14:30,Baneshwor,46,32.7,High,Clear
2025-01-17,9:30,Lalitpur,101,33.7,High,Cloudy
2025-03-08,12:30,Lalitpur,745,18.1,Low,Rain
2025-03-18,10:15,Baneshwor,49,35.7,Medium,Fog
2025-02-21,11:30,Baneshwor,291,55.6,Low,Cloudy
2025-03-30,12:45,Kalanki,126,46.9,Medium,Fog
2025-02-22,10:30,Maharajgunj,103,36.5,Medium,Clear
2025-02-05,12:30,Chabahil,48,35.6,High,Fog
2025-02-18,8:00,Ratnapark,53,37.6,Low,Clear
2025-04-14,11:30,Baneshwor,690,36.2,High,Rain
2025-03-04,9:45,Koteshwor,54,24.0,High,Clear
2025-02-02,13:45,Lalitpur,103,36.6,Low,Clear
2025-01-04,10:45,Baneshwor,48,35.6,Medium,Cloudy
2025-01-04,13:15,Ratnapark,47,33.9,Low,Clear
2025-01-18,10:00,Ratnapark,46,33.0,Medium,Clear
2025-01-28,15:30,Koteshwor,622,32.5,Low,Rain
2025-04-21,10:45,Chabahil,434,16.3,Medium,Clear
2025-04-14,11:45,Bhaktapur,50,38.0,High,Clear
2025-05-02,13:30,Maharajgunj,932,34.2,Low,Clear
