Date,Time,Location,Vehicle_Count,Average_Speed,Congestion_Level,Weather
2025-01-01,8:15,Maharajgunj,50,43,High,Unknown
2025-01-01,9:45,Bhaktapur,50,24,Low,Rain
2025-01-01,10:45,Lalitpur,50,35,Medium,Rain
2025-01-01,11:15,Baneshwor,100,35,Low,Fog
2025-01-01,12:45,Koteshwor,50,35,Low,Fog
2025-01-01,13:00,Koteshwor,50,35,Low,Fog
2025-01-01,14:15,Baneshwor,394,35,Low,Fog
2025-01-01,15:45,Kalanki,293,35,Medium,Rain
2025-01-02,8:15,Chabahil,100,35,High,Cloudy
2025-01-02,9:00,Chabahil,972,35,Medium,Clear
2025-01-02,10:45,Chabahil,100,35,Medium,Cloudy
2025-01-02,11:00,Baneshwor,50,35,Medium,Clear
2025-01-02,12:15,Lalitpur,320,35,Low,Clear
2025-01-02,13:45,Kalanki,100,35,Low,Fog
2025-01-02,14:15,Ratnapark,556,47,Medium,Fog
2025-01-02,15:00,Chabahil,50,21,High,Clear
2025-01-03,8:15,Kalanki,50,6,Medium,Fog
2025-01-03,10:45,Maharajgunj,50,53,Medium,Clear
2025-01-03,12:30,Kalanki,902,35,Low,Cloudy
2025-01-03,13:00,Baneshwor,100,44,Medium,Cloudy
2025-01-03,14:30,Lalitpur,451,42,High,Clear
2025-01-03,15:45,Bhaktapur,50,10,High,Clear
2025-01-03,11:15,Kalanki,298,35,High,Clear
2025-01-04,8:00,Kalanki,703,35,Low,Clear
2025-01-04,9:45,Maharajgunj,258,3,Medium,Clear
2025-01-04,10:30,Ratnapark,50,35,High,Clear
2025-01-04,11:15,Lalitpur,50,35,Low,Clear
2025-01-04,13:15,Ratnapark,50,35,Low,Clear
2025-01-04,12:30,Ratnapark,100,35,Low,Clear
2025-01-04,15:00,Maharajgunj,762,35,Low,Clear
2025-01-04,14:45,Baneshwor,50,35,Medium,Cloudy
2025-01-05,8:15,Koteshwor,100,35,Medium,Cloudy
2025-01-05,10:30,Ratnapark,50,17,High,Cloudy
2025-01-05,11:30,Koteshwor,50,35,Medium,Cloudy
2025-01-05,9:45,Kalanki,50,35,Low,Clear
2025-01-05,13:45,Lalitpur,100,35,High,Clear
2025-01-05,14:30,Lalitpur,211,35,High,Fog
2025-01-05,15:45,Chabahil,100,35,High,Fog
2025-01-06,8:45,Chabahil,50,35,High,Cloudy
2025-01-06,9:45,Bhaktapur,100,35,Medium,Rain
2025-01-06,10:45,Baneshwor,50,35,Medium,Cloudy
2025-01-06,11:00,Kalanki,493,35,Low,Cloudy
2025-01-06,12:00,Lalitpur,998,35,Low,Fog
2025-01-06,14:00,Koteshwor,526,8,High,Fog
2025-01-06,13:00,Ratnapark,100,5,Low,Rain
2025-01-06,15:30,Lalitpur,100,47,Low,Rain
2025-01-07,8:00,Chabahil,443,30,Low,Fog
2025-01-07,9:15,Kalanki,100,35,Low,Fog
2025-01-07,10:30,Ratnapark,711,35,Low,Rain
2025-01-07,12:45,Maharajgunj,908,35,Low,Rain
2025-01-07,11:15,Bhaktapur,100,35,High,Rain
2025-01-07,13:45,Chabahil,351,38,Low,Rain
2025-01-08,10:45,Maharajgunj,100,14,Low,Rain
2025-01-07,15:15,Bhaktapur,50,18,Low,Clear
2025-01-08,8:00,Bhaktapur,50,10,Medium,Clear
2025-01-08,9:00,Maharajgunj,100,8,High,Clear
2025-01-08,15:15,Maharajgunj,330,35,High,Cloudy
2025-01-08,11:45,Maharajgunj,100,47,High,Fog
2025-01-07,14:45,Baneshwor,149,35,Low,Cloudy
2025-01-08,12:15,Baneshwor,50,35,Low,Rain
2025-01-09,11:00,Bhaktapur,948,55,High,Clear
2025-01-08,13:00,Lalitpur,50,35,High,Clear
2025-01-08,14:30,Baneshwor,50,35,High,Clear
2025-01-09,8:00,Baneshwor,50,35,High,Cloudy
2025-01-09,9:30,Maharajgunj,239,41,Low,Fog
2025-01-09,10:45,Ratnapark,100,35,Low,Fog
2025-01-09,13:45,Ratnapark,50,13,Low,Cloudy
2025-01-09,12:45,Bhaktapur,648,34,Low,Fog
2025-01-09,14:30,Ratnapark,100,35,High,Fog
2025-01-10,8:15,Chabahil,100,23,High,Rain
2025-01-09,15:00,Lalitpur,100,35,Medium,Rain
2025-01-10,10:30,Koteshwor,569,35,Medium,Clear
